nomeProposicao,idProposicao,idProposicaoPrincipal,nomeProposicaoOrigem,tipoProposicao,tema,Ementa,ExplicacaoEmenta,Autor,ideCadastro,ufAutor,partidoAutor,DataApresentacao,RegimeTramitacao,UltimoDespacho,Apreciacao,Indexacao,Situacao,LinkInteiroTeor,apensadas,apensadas_proposicao
PL 3939/2024,2462403,"
  ","
  ",Projeto de Lei,"Ciência, Tecnologia e Inovação; Saúde","Altera a Lei nº 8.080, de 19 de setembro de 1990, para dispor sobre a modalidade de telemedicina teleinterconsulta.","
  ",Tadeu Oliveira,230177,CE,PL        ,14/10/2024,.,"
  ",.,"Alteração, Lei Orgânica da Saúde (1990), diretrizes, teleinterconsulta, aprimoramento, Telessaúde, Sistema Único de Saúde (SUS).   ",SECAP(SGM) - Aguardando Autorização do Despacho,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=2484974,,
PL 3938/2024,2462322,"
  ","
  ",Projeto de Lei,Direito Penal e Processual Penal; Meio Ambiente e Desenvolvimento Sustentável,"Altera o art. 28-A do Decreto-Lei nº 3.689, de 3 de outubro de 1941, para vedar a concessão de Acordo de Não Persecução Penal (ANPP) para investigados pelos crimes previstos na Lei 9.605, de 12 de fevereiro de 1998.
","
  ",Célio Studart,204488,CE,PSD       ,14/10/2024,.,"
  ",.,"Alteração, Código de Processo Penal (1941), proibição, Acordo de não persecução penal, acusado, crime ambiental. ",SECAP(SGM) - Aguardando Autorização do Despacho,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=2484820,,
PL 3937/2024,2462316,"
  ","
  ",Projeto de Lei,Direito Civil e Processual Civil,"Altera a Lei nº 10.169, de 29 de dezembro de 2000, para definir que taxas e emolumentos referentes aos atos notariais necessários ao funcionamento de pessoas jurídicas sem fins lucrativos deverão ter preços módicos. ","
  ",Mário Heringer,74158,MG,PDT       ,14/10/2024,.,"
  ",.,"Alteração, Lei Federal de Emolumentos (2000), fixação, valor, Emolumento, Ato notarial, funcionamento, Entidade sem fins lucrativos.",SECAP(SGM) - Aguardando Despacho do Presidente da Câmara dos Deputados,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=2484812,,
PL 3936/2024,2462314,"
  ","
  ",Projeto de Lei,"Ciência, Tecnologia e Inovação; Direito Civil e Processual Civil; Indústria, Comércio e Serviços","Altera a Lei nº 9.279, de 14 de maio de 1996, para dispor sobre a obtenção de patentes de invenções ou modelos de utilidade desenvolvidos com o auxílio de sistemas de inteligência artificial.","
  ",Leonardo Gadelha,122195,PB,PODE      ,14/10/2024,.,"
  ",.,"Alteração, Lei de Propriedade Industrial (1996), Patente de invenção, Modelo de utilidade, utilização, inteligência artificial, Instituto Nacional da Propriedade Industrial (INPI), diretrizes. ",SECAP(SGM) - Aguardando Despacho do Presidente da Câmara dos Deputados,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=2484809,,
PL 3935/2024,2462306,"
  ","
  ",Projeto de Lei,Saúde; Trabalho e Emprego,"Altera a Lei nº 605, de 5 de janeiro de 1949, para reconhecer a validade legal dos atestados de saúde emitidos por psicólogos, fisioterapeutas, cirurgiões-dentistas e enfermeiros, como justificativa para a comprovação de doenças.","
  ",Carla Ayres,229106,SC,PT        ,14/10/2024,.,"
  ",.,"Alteração, Lei do Repouso Semanal Remunerado (1949), reconhecimento, validade, Atestado médico, Profissional de saúde, Psicólogo, Fisioterapeuta, Cirurgião dentista, Enfermeiro, Afastamento ao trabalhador celetista, Doença ocupacional.",SECAP(SGM) - Aguardando Despacho do Presidente da Câmara dos Deputados,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=2484796,,
PL 3933/2024,2462304,"
  ","
  ",Projeto de Lei,Esporte e Lazer; Previdência e Assistência Social,"Dispõe sobre a vedação de acesso a benefícios sociais por parte de cidadãos que utilizarem recursos de programas sociais para apostas ou jogos online, e dá outras providências. ","
  ",Vicentinho Júnior,137070,TO,PP        ,14/10/2024,.,"
  ",.,"Proibição, beneficiário, Programa social, utilização, recursos, aposta, jogo de azar, descumprimento, suspensão, Benefício assistencial. ",SECAP(SGM) - Aguardando Autorização do Despacho,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=2484794,,
PL 3934/2024,2462305,"
  ","
  ",Projeto de Lei,Esporte e Lazer; Previdência e Assistência Social; Saúde,"Dispõe sobre a obrigatoriedade de implementação de um serviço social de apoio telefônico para pessoas viciadas em jogos online, e estabelece a prioridade de atendimento psicológico no Sistema Único de Saúde (SUS) para os usuários que se utilizarem do referido serviço. ","
  ",Vicentinho Júnior,137070,TO,PP        ,14/10/2024,.,"
  ",.,"Obrigatoriedade, criação, Serviço Social, Assistência psicossocial,  Assistência à saúde, Dependência psíquica, Atendimento telefônico, Acolhimento (saúde), Vício (comportamento), Jogo online, Jogo eletrônico.",SECAP(SGM) - Aguardando Despacho do Presidente da Câmara dos Deputados,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=2484795,,
PL 3932/2024,2462276,"
  ","
  ",Projeto de Lei,Direitos Humanos e Minorias; Esporte e Lazer; Saúde,"Institui a Política Nacional de Conscientização e Combate ao Vício Tecnológico em crianças e adolescentes e altera a Lei nº 14.790, de 29 de dezembro de 2023, a fim de prever medidas adicionais de combate à participação de menores de 18 (dezoito) anos na condição de apostador em apostas de quota fixa.","
  ",Romero Rodrigues,160629,PB,PODE      ,14/10/2024,.,"
  ",.,"Criação, Política Nacional de Conscientização e Combate ao Vício Tecnológico em crianças e adolescentes, campanha educativa, saúde mental, diretrizes. _ Alteração, lei federal,  Agente operador de apostas, proibição, menor de idade, apostas de quota fixa, jogo de azar, prevenção, ludopatia. ",SECAP(SGM) - Aguardando Despacho do Presidente da Câmara dos Deputados,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=2484749,,
PL 3930/2024,2462271,"
  ","
  ",Projeto de Lei,Defesa e Segurança; Direitos Humanos e Minorias,"Acrescenta dispositivo à Lei nº 11.340, de 7 de agosto de 2006, para dispor sobre o direito da mulher que sofre violência doméstica ao porte de arma de fogo.
","
  ",Rodolfo Nogueira,220546,MS,PL        ,14/10/2024,.,"
  ",.,"Alteração, Lei Maria da Penha (2006), critério, concessão, porte de arma, mulher, vítima, violência doméstica",SECAP(SGM) - Aguardando Despacho do Presidente da Câmara dos Deputados,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=2484728,,
PL 3931/2024,2462274,"
  ","
  ",Projeto de Lei,Defesa e Segurança; Direito Penal e Processual Penal; Direitos Humanos e Minorias,"Altera o artigo 22 da Lei nº 11.340, de 7 de agosto de 2006, possibilitando ao juiz determinar o uso de dispositivos de monitoramento eletrônico no agressor, permitindo o acompanhamento em tempo real da sua localização, quando necessário para garantir a segurança da vítima, nos casos de violência doméstica e familiar contra a mulher.
","
  ",Rodolfo Nogueira,220546,MS,PL        ,14/10/2024,.,"
  ",.,"Alteração, Lei Maria da Penha (2006), medida protetiva de urgência, juiz, determinação, equipamento eletrônico, monitoração eletrônica, agressor, localização, tempo real,  vítima.",SECAP(SGM) - Aguardando Despacho do Presidente da Câmara dos Deputados,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=2484732,,
