,nomeProposicao,idProposicao,partidoAutor,DataApresentacao,Ano,Administração e Políticas Públicas,Desenvolvimento Social e Urbano,Direitos e Justiça,Economia e Desenvolvimento Sustentável,Infraestrutura e Gestão de Recursos,VirouLei,Influencia,Aliado,Oposição,Partido_Pres_Cam,PPC_igual_partidoAutor
0,PL 4926/2013,564574,PR,2013-02-04,2013,0,1,0,0,0,0,246.913.580.246.913,1,0,PMDB,0
1,PL 4931/2013,564595,PR,2013-02-04,2013,1,1,0,0,1,0,246.913.580.246.913,1,0,PMDB,0
2,PL 4928/2013,564579,PSB,2013-02-04,2013,0,1,0,0,0,0,487.329.434.697.855,1,0,PMDB,0
3,PL 4936/2013,564610,PR,2013-02-05,2013,0,0,0,1,0,0,246.913.580.246.913,1,0,PMDB,0
4,PL 4937/2013,564611,PSD,2013-02-05,2013,0,0,0,1,0,0,779.727.095.516.569,1,0,PMDB,0
5,PL 4940/2013,564649,PSB,2013-02-05,2013,0,1,0,0,0,0,487.329.434.697.855,1,0,PMDB,0
6,PL 4941/2013,564650,PSB,2013-02-05,2013,0,0,0,1,0,0,487.329.434.697.855,1,0,PMDB,0
7,PL 4944/2013,564681,PSC,2013-02-05,2013,1,0,0,1,0,0,253.411.306.042.884,1,0,PMDB,0
8,PL 4946/2013,564684,PR,2013-02-05,2013,1,1,0,0,0,0,246.913.580.246.913,1,0,PMDB,0
9,PL 4947/2013,564686,PSD,2013-02-05,2013,0,1,0,0,0,0,779.727.095.516.569,1,0,PMDB,0
10,PL 4954/2013,564726,PR,2013-02-05,2013,0,0,1,0,0,0,246.913.580.246.913,1,0,PMDB,0
11,PL 4955/2013,564727,PR,2013-02-05,2013,0,1,0,0,0,0,246.913.580.246.913,1,0,PMDB,0
12,PL 4963/2013,564761,PSC,2013-02-06,2013,1,0,0,0,1,0,253.411.306.042.884,1,0,PMDB,0
13,PL 4962/2013,564760,PTDOB,2013-02-06,2013,1,0,0,0,0,0,246.913.580.246.913,0,0,PMDB,0
14,PL 4956/2013,564740,PCDOB,2013-02-06,2013,0,1,0,0,0,0,272.904.483.430.799,1,0,PMDB,0
15,PL 4960/2013,564755,DEM,2013-02-06,2013,0,0,0,1,0,0,487.329.434.697.855,0,1,PMDB,0
16,PL 4972/2013,564836,DEM,2013-02-08,2013,0,0,1,0,0,0,487.329.434.697.855,0,1,PMDB,0
17,PL 4973/2013,564852,PMDB,2013-02-13,2013,0,0,0,1,1,0,1.481.481.481.481.480,1,0,PMDB,1
18,PL 4978/2013,564946,PDT,2013-02-19,2013,0,0,0,1,1,0,331.384.015.594.541,1,0,PMDB,0
19,PL 4980/2013,564967,PMDB,2013-02-19,2013,0,1,0,0,0,0,1.481.481.481.481.480,1,0,PMDB,1
20,PL 4985/2013,565009,PSDB,2013-02-19,2013,1,0,1,0,1,0,896.686.159.844.054,0,1,PMDB,0
21,PL 5020/2013,565430,PSB,2013-02-20,2013,0,1,0,1,0,1,487.329.434.697.855,1,0,PMDB,0
22,PL 5004/2013,565322,PMDB,2013-02-20,2013,0,0,1,1,0,0,1.481.481.481.481.480,1,0,PMDB,1
23,PL 5003/2013,565318,PR,2013-02-20,2013,0,1,0,1,0,0,246.913.580.246.913,1,0,PMDB,0
24,PL 5001/2013,565312,PTB,2013-02-20,2013,1,1,0,0,0,0,331.384.015.594.541,0,0,PMDB,0
25,PL 5000/2013,565300,PMDB,2013-02-20,2013,0,0,0,1,1,0,1.481.481.481.481.480,1,0,PMDB,1
26,PL 5013/2013,565404,PMDB,2013-02-20,2013,1,0,0,0,1,1,1.481.481.481.481.480,1,0,PMDB,1
27,PL 5002/2013,565315,PSOL,2013-02-20,2013,0,0,1,0,0,0,58.479.532.163.742,0,1,PMDB,0
28,PL 5008/2013,565395,PT,2013-02-20,2013,1,0,0,1,0,0,1.715.399.610.136.450,1,0,PMDB,0
