nomeProposicao,idProposicao,partidoAutor,DataApresentacao,Ano,Administração e Políticas Públicas,Desenvolvimento Social e Urbano,Direitos e Justiça,Economia e Desenvolvimento Sustentável,Infraestrutura e Gestão de Recursos,Influencia,Aliado,Oposição,PPC_igual_partidoAutor,VirouLei,Partido_Pres_Cam
PL 81/2024,2417025,PT,2024-02-05,2024,0,0,0,1,0,0.1130604288499025,1,0,0,1,PP
PL 147/2024,2417234,SOLIDARIEDADE,2024-02-06,2024,0,0,1,0,0,0.1130604288499025,1,0,0,1,PP
PL 545/2024,2419197,PT,2024-03-05,2024,1,0,0,1,0,0.0272904483430799,1,0,0,1,PP
PL 590/2024,2419509,REPUBLICANOS,2024-03-06,2024,0,0,1,0,0,0.1325536062378167,0,0,0,0,PP
PL 712/2024,2420454,PP,2024-03-12,2024,0,1,0,0,0,0.1325536062378167,1,0,1,0,PP
PL 1026/2024,2424079,PT,2024-03-27,2024,0,0,0,1,0,0.0857699805068226,1,0,0,1,PP
PL 1382/2024,2428628,PMDB,2024-04-23,2024,0,1,1,0,0,0.0838206627680311,1,0,0,0,PP
PL 1431/2024,2430014,REPUBLICANOS,2024-04-24,2024,0,0,1,1,0,0.1130604288499025,0,0,0,0,PP
PL 1564/2024,2431026,NOVO,2024-05-06,2024,0,1,1,1,0,0.1325536062378167,0,1,0,1,PP
PL 1630/2024,2431767,PDT,2024-05-07,2024,1,0,0,1,0,0.1851851851851851,1,0,0,0,PP
PL 1642/2024,2431965,PL,2024-05-08,2024,1,1,0,1,0,0.0350877192982456,0,1,0,0,PP
PL 1725/2024,2432767,PT,2024-05-09,2024,0,0,0,1,0,0.0058479532163742,1,0,0,1,PP
PL 2078/2024,2436632,REPUBLICANOS,2024-05-27,2024,0,1,1,1,0,0.0838206627680311,0,0,0,0,PP
PL 2065/2024,2436563,UNIÃO,2024-05-27,2024,0,1,1,0,0,0.0857699805068226,1,0,0,0,PP
PL 858/2024,2447183,PMDB,2024-07-08,2024,1,0,1,1,0,0.1325536062378167,1,0,0,1,PP
PL 3027/2024,2450707,PT,2024-08-02,2024,0,0,0,1,1,0.0974658869395711,1,0,0,1,PP
PL 3117/2024,2452037,PT,2024-08-13,2024,1,0,0,0,0,0.0838206627680311,1,0,0,1,PP
PL 3148/2024,2452628,PSB,2024-08-13,2024,0,1,0,0,0,0.1325536062378167,1,0,0,1,PP
PL 3266/2024,2454377,UNIÃO,2024-08-21,2024,0,1,0,1,0,0.0116959064327485,1,0,0,0,PP
PL 1847/2024,2454704,UNIÃO,2024-08-22,2024,1,0,0,1,0,0.1325536062378167,1,0,0,1,PP
