nomeProposicao,idProposicao,partidoAutor,DataApresentacao,VirouLei,Administração e Políticas Públicas,Desenvolvimento Social e Urbano,Direitos e Justiça,Economia e Desenvolvimento Sustentável,Infraestrutura e Gestão de Recursos
PL 7021/2013,604997,PSD       ,19/12/2013,0,0,0,1,0,0
PL 7020/2013,604994,PRP       ,19/12/2013,0,0,0,0,1,0
PL 7017/2013,604974,PSC       ,18/12/2013,0,0,0,0,1,1
PL 7016/2013,604968,PMDB      ,18/12/2013,0,1,0,0,0,0
PL 7014/2013,604961,PROS      ,18/12/2013,0,0,1,0,0,0
PL 7004/2013,604881,PT        ,18/12/2013,0,1,0,1,0,1
PL 7003/2013,604879,PSD       ,18/12/2013,0,0,1,0,0,0
PL 7000/2013,604858,PRB       ,18/12/2013,0,0,0,1,0,0
PL 6997/2013,604829,PP        ,18/12/2013,0,1,0,0,0,0
PL 6999/2013,604844,PP        ,18/12/2013,1,0,0,1,1,0
PL 6998/2013,604836,PMDB      ,18/12/2013,1,0,0,1,0,0
PL 6996/2013,604828,PP        ,18/12/2013,0,0,0,1,0,0
PL 6990/2013,604751,PTB       ,17/12/2013,0,0,0,1,0,0
PL 6986/2013,604717,PROS      ,17/12/2013,0,0,1,0,0,0
PL 6987/2013,604718,PROS      ,17/12/2013,0,0,1,0,0,0
PL 6983/2013,604657,PSDB      ,17/12/2013,0,0,1,0,0,0
PL 6985/2013,604703,PMDB      ,17/12/2013,0,0,1,0,0,0
PL 6982/2013,604642,PT        ,17/12/2013,0,0,0,1,0,0
PL 6978/2013,604626,PDT       ,17/12/2013,0,0,0,1,0,0
PL 6979/2013,604627,PT        ,17/12/2013,0,0,1,0,0,0
PL 6971/2013,604563,PR        ,17/12/2013,0,0,1,0,0,0
PL 6967/2013,604518,SDD       ,16/12/2013,0,0,0,1,0,0
PL 6960/2013,604444,PT        ,13/12/2013,0,1,0,0,0,0
PL 6957/2013,604438,PMDB      ,13/12/2013,0,0,1,0,0,0
PL 6952/2013,604336,PR        ,12/12/2013,0,0,1,0,0,0
PL 6953/2013,604337,PR        ,12/12/2013,0,0,1,0,0,0
PL 6951/2013,604329,PTB       ,12/12/2013,0,0,1,0,0,0
PL 6948/2013,604295,PRB       ,12/12/2013,0,0,1,0,1,0
PL 6947/2013,604255,PSB       ,12/12/2013,0,0,0,0,1,0
PL 6946/2013,604215,PSB       ,11/12/2013,0,1,0,0,0,1
PL 6945/2013,604214,PT        ,11/12/2013,0,0,1,0,0,0
PL 6941/2013,604147,PSDB      ,11/12/2013,0,0,1,0,0,0
PL 6942/2013,604156,DEM       ,11/12/2013,0,0,0,0,1,1
PL 6937/2013,604128,DEM       ,11/12/2013,0,1,0,0,0,1
PL 6936/2013,604125,PRB       ,11/12/2013,0,1,0,0,0,0
PL 6932/2013,604077,PSB       ,11/12/2013,0,0,1,1,0,0
PL 6931/2013,604075,PSB       ,11/12/2013,0,0,1,0,0,0
PL 6929/2013,604014,PT        ,11/12/2013,0,0,1,0,0,0
PL 6926/2013,603944,PSB       ,10/12/2013,0,1,0,0,0,0
PL 6924/2013,603935,PSB       ,10/12/2013,0,0,1,0,0,0
PL 6921/2013,603920,PMDB      ,10/12/2013,0,1,0,1,0,0
PL 6918/2013,603895,PTB       ,10/12/2013,0,0,0,0,1,0
PL 6919/2013,603896,PTB       ,10/12/2013,0,1,0,0,0,1
PL 6916/2013,603892,PMN       ,10/12/2013,0,0,1,0,0,0
PL 6917/2013,603893,DEM       ,10/12/2013,0,0,1,0,0,0
PL 6914/2013,603890,PMN       ,10/12/2013,0,0,1,0,0,0
PL 6915/2013,603891,PMN       ,10/12/2013,0,0,1,0,0,0
PL 6913/2013,603889,PMN       ,10/12/2013,0,0,1,1,0,0
PL 6912/2013,603784,PMDB      ,10/12/2013,0,0,0,0,1,0
PL 6908/2013,603722,PDT       ,10/12/2013,0,0,0,0,1,0
